attendance,cgpa,avg_current_grade,certificates,internships,department,year,gender,residence,school_type,extra_curricular,library_usage,project_involvement,activity_score,gpa_sem1,gpa_sem2,grade_trend,risk_level
88,8.24,5.71,3.36,4,ME,3rd,F,Rural,Private,3,9,0,3.68,5.69,7.28,1.59,0
78,6.37,6.18,5.43,6,EE,2nd,F,Rural,Private,1,23,1,5.72,7.43,6.86,-0.57,0
64,5.89,6.79,1.92,4,ME,1st,M,Urban,Government,5,7,1,2.96,9.23,5.57,-3.66,1
92,6.47,9.87,5.37,6,IT,3rd,F,Rural,Private,5,5,1,5.68,5.5,6.15,0.65,0
57,5.57,5.03,2.79,2,IT,1st,F,Urban,Government,10,19,1,2.4,8.39,6.02,-2.37,2
70,9.71,6.14,2.89,6,CE,3rd,M,Urban,Private,6,19,1,4.44,8.96,9.72,0.76,0
88,8.92,8.38,7.39,2,CE,1st,M,Urban,Private,8,23,1,4.7,6.38,9.83,3.45,0
68,7.31,9.78,0.3,6,ME,2nd,F,Rural,Private,10,2,0,3.15,8.34,5.02,-3.32,1
72,9.32,4.93,3.81,8,IT,4th,F,Urban,Private,8,23,0,5.9,8.43,5.85,-2.58,1
60,6.25,5.36,4.08,10,CE,2nd,F,Urban,Government,3,19,0,7.04,8.54,9.44,0.9,1
60,8.59,5.35,4.85,2,CE,3rd,M,Urban,Private,8,9,1,3.42,9.45,5.19,-4.26,1
73,9.28,4.13,6.69,2,IT,1st,M,Urban,Government,7,24,0,4.35,6.99,9.72,2.73,1
85,6.78,7.62,3.7,4,IT,2nd,F,Rural,Government,0,17,0,3.85,6.22,6.9,0.68,0
89,8.79,8.02,2.13,2,CS,1st,M,Rural,Private,6,9,1,2.06,7.72,7.69,-0.03,0
73,6.48,7.62,8.85,6,BIO,2nd,M,Rural,Government,6,12,1,7.42,5.31,8.82,3.51,0
52,6.49,4.43,9.81,8,CE,3rd,M,Rural,Government,9,13,0,8.91,6.67,6.22,-0.45,1
71,5.54,4.42,0.2,8,ME,4th,M,Rural,Private,3,0,0,4.1,9.42,5.5,-3.92,2
51,7.2,5.26,5.46,4,EE,2nd,M,Urban,Private,6,19,0,4.73,7.66,9.05,1.39,1
73,8.65,5.74,3.42,6,EE,1st,M,Rural,Private,10,14,1,4.71,7.18,9.92,2.74,1
93,9.7,8.72,2.77,6,IT,1st,F,Rural,Private,10,24,0,4.38,6.33,8.29,1.96,0
79,8.02,4.96,3.36,0,BIO,1st,F,Rural,Private,10,11,0,1.68,6.25,9.13,2.88,1
87,9.32,4.26,6.39,2,ME,3rd,F,Rural,Private,10,15,1,4.2,6.18,9.71,3.53,0
51,9.11,6.36,1.91,4,CS,3rd,M,Rural,Government,9,6,1,2.96,9.15,6.14,-3.01,1
70,5.87,6.5,9.13,8,CE,4th,F,Urban,Government,9,13,1,8.57,9.93,6.75,-3.18,1
82,7.43,6.71,4.66,10,CS,1st,F,Rural,Private,4,8,0,7.33,7.67,6.1,-1.57,0
61,5.58,8.96,3.26,0,ME,4th,M,Urban,Government,4,8,1,1.63,5.4,5.31,-0.09,2
71,8.41,4.59,7.66,6,CS,1st,F,Rural,Government,4,9,1,6.83,8.76,8.66,-0.1,1
93,9.75,8.22,0.16,2,IT,2nd,F,Urban,Government,5,8,1,1.08,9.39,5.73,-3.66,0
74,5.69,6.03,4.32,8,EE,2nd,F,Urban,Private,6,24,1,6.16,9.66,5.46,-4.2,1
98,8.67,5.86,3.55,0,IT,2nd,F,Rural,Private,4,15,1,1.78,8.14,6.79,-1.35,1
76,8.16,9.6,3.38,6,CE,1st,M,Rural,Private,8,22,0,4.69,7.53,5.3,-2.23,0
91,7.92,5.49,3.37,8,IT,2nd,F,Rural,Private,10,7,0,5.68,8.1,5.9,-2.2,0
77,6.95,7.86,0.31,8,ME,1st,M,Urban,Government,8,1,0,4.16,5.06,5.35,0.29,0
65,6.78,5.65,1.52,6,ME,4th,M,Urban,Private,6,24,0,3.76,8.28,9.39,1.11,1
64,5.23,7.04,1.42,6,CE,3rd,F,Rural,Private,9,17,0,3.71,8.55,8.9,0.35,1
96,6.09,8.72,9.89,4,CE,2nd,M,Urban,Private,2,23,1,6.94,8.61,9.3,0.69,0
93,5.08,9.29,0.22,8,EE,1st,M,Rural,Government,3,17,0,4.11,7.82,9.34,1.52,1
52,7.91,9.03,1.67,6,CS,1st,M,Urban,Government,3,11,1,3.84,8.5,9.72,1.22,1
86,5.53,7.49,9.74,10,EE,4th,M,Rural,Government,6,23,0,9.87,8.19,5.93,-2.26,0
56,9.37,5.49,6.28,10,IT,4th,F,Urban,Private,1,2,0,8.14,5.58,9.5,3.92,1
70,7.62,7.97,4.51,0,CS,3rd,F,Rural,Private,10,1,0,2.26,9.49,7.63,-1.86,1
58,8.5,8.26,0.79,2,CE,4th,M,Urban,Government,4,5,1,1.4,8.11,5.83,-2.28,1
88,7.05,4.06,6.7,10,ME,3rd,M,Urban,Government,10,5,0,8.35,8.64,8.28,-0.36,0
67,7.8,6.64,1.38,4,IT,3rd,M,Rural,Government,10,16,1,2.69,6.71,6.64,-0.07,1
53,9.71,9.06,6.71,6,EE,4th,M,Urban,Private,3,15,0,6.36,9.6,5.23,-4.37,0
74,5.41,6.94,9.79,2,BIO,3rd,F,Urban,Private,9,22,1,5.9,7.51,5.39,-2.12,1
63,6.27,5.87,5.32,4,BIO,2nd,M,Rural,Government,10,12,0,4.66,8.4,7.12,-1.28,1
99,8.9,9.23,2.14,8,CE,3rd,F,Rural,Government,8,11,1,5.07,9.76,9.13,-0.63,0
58,5.49,4.94,6.25,2,CS,1st,M,Rural,Government,0,10,1,4.12,9.58,6.56,-3.02,2
75,5.38,5.24,5.13,10,BIO,1st,M,Urban,Private,9,14,0,7.56,8.22,8.83,0.61,1
51,6.81,8.12,5.33,4,CS,1st,M,Urban,Private,2,16,0,4.66,5.83,5.28,-0.55,0
69,5.46,6.11,4.78,6,ME,4th,F,Rural,Government,5,19,0,5.39,9.75,6.97,-2.78,1
